Rank,Location,Population,Changes
—,World,"6,464,750,000",
1,China,"1,307,593,000",
2,India[2],"1,103,371,000",
3,United States[3],"295,520,000",
4,Indonesia,"222,781,000",
5,Brazil,"186,405,000",
6,Pakistan,"157,935,000",1
7,Russia,"143,202,000",1
8,Bangladesh,"141,822,000",
9,Nigeria,"131,530,000",1
10,Japan,"128,085,000",1
11,Mexico,"107,029,000",
12,Philippines,"85,599,000",2
13,Vietnam,"84,238,000",1
14,Germany,"82,689,000",2
15,Ethiopia,"77,431,000",1
16,Egypt,"74,033,000",1
17,Turkey,"73,193,000",1
18,Iran,"69,515,000",1
19,France,"65,446,000",1
20,Thailand,"64,233,000",1
21,United Kingdom,"59,668,000",
22,Italy,"58,093,000",
23,Democratic Republic of the Congo,"57,549,000",
24,Myanmar,"50,519,000",
25,South Korea,"50,000,000",1
26,South Africa,"48,432,000",1
27,Ukraine,"46,481,000",2
28,Colombia,"45,600,000",
29,Spain,"43,064,000",
30,Argentina,"38,747,000",
31,Poland,"38,530,000",
32,Tanzania,"38,329,000",
33,Sudan,"36,233,000",
34,Kenya,"34,256,000",
35,Algeria,"32,854,000",
36,Canada,"32,268,000",
37,Morocco,"31,478,000",
38,Afghanistan,"29,863,000",
39,Uganda,"28,816,000",
40,Iraq,"28,807,000",
41,Peru,"27,968,000",
42,Nepal,"27,133,000",
43,Venezuela,"26,749,000",
44,Uzbekistan,"26,593,000",
45,Malaysia,"25,347,000",
46,Saudi Arabia,"24,573,000",
47,North Korea,"22,894,384",
48,Taiwan,"22,488,000",
49,Ghana,"22,113,000",
50,Romania,"21,711,000",
51,Yemen,"20,975,000",1
52,Sri Lanka,"20,743,000",1
53,Australia[4],"20,155,000",2
54,Syria,"19,792,000",
55,Mozambique,"19,043,000",
56,Madagascar[5],"18,606,000",
57,Côte d'Ivoire,"18,154,000",
58,Cameroon,"16,322,000",
59,Netherlands,"16,299,000",
60,Chile,"16,295,000",
61,Angola,"15,941,000",
62,Kazakhstan,"14,825,000",
63,Cambodia,"14,071,000",
64,Niger,"13,957,000",
65,Mali,"13,518,000",
66,Ecuador,"13,228,000",
67,Burkina Faso,"13,228,000",
68,Zimbabwe,"13,010,000",
69,Guatemala,"12,884,000",
70,Malawi,"12,599,000",
71,Zambia,"11,668,000",
72,Senegal,"11,658,000",
73,Cuba,"11,269,000",
74,Greece,"11,120,000",
75,Belgium,"10,495,000",
76,Portugal,"10,419,000",
77,Czech Republic,"10,220,000",
78,Tunisia,"10,102,000",
79,Hungary,"10,098,000",
80,Serbia[6],"9,778,991",
81,Chad,"9,755,000",
82,Belarus,"9,749,000",
83,Guinea,"9,402,000",
84,Bolivia,"9,182,000",
85,Sweden,"9,041,000",
86,Rwanda,"9,038,000",
87,Dominican Republic,"8,895,000",
88,Haiti,"8,528,000",
89,Benin,"8,439,000",
90,Azerbaijan,"8,411,000",
91,Somalia,"8,228,000",
92,Austria,"8,189,000",
93,Bulgaria,"7,726,000",
94,Burundi,"7,548,000",
95,Switzerland,"7,252,000",
96,Honduras,"7,205,000",
97,Hong Kong(PR China),"7,041,000",
98,El Salvador,"6,881,000",
99,Israel,"6,725,000",
100,Tajikistan,"6,507,000",
101,Paraguay,"6,158,000",
102,Togo,"6,145,000",
103,Laos,"5,924,000",
104,Papua New Guinea,"5,887,000",
105,Libya,"5,853,000",
106,Jordan,"5,703,000",
107,Tibet(PR China),"5,700,000",
108,Sierra Leone,"5,525,000",
109,Nicaragua,"5,487,000",
110,Denmark,"5,431,000",
111,Slovakia,"5,401,000",
112,Kyrgyzstan,"5,264,000",
113,Finland[7],"5,249,000",
114,Turkmenistan,"4,833,000",
115,Norway[8],"4,620,000",
116,Croatia,"4,551,000",
117,United Arab Emirates,"4,496,000",
118,‹See RfD›Georgia,"4,474,000",
119,Eritrea,"4,401,000",
120,Costa Rica,"4,327,000",
121,Singapore,"4,326,000",
122,Moldova,"4,206,000",
123,Ireland,"4,148,000",
123,Central African Republic,"4,038,000",
124,New Zealand,"4,028,000",
125,Republic of the Congo,"3,999,000",
126,Puerto Rico(US),"3,955,000",
127,Bosnia and Herzegovina,"3,907,000",
128,Palestinian territories,"3,702,000",
129,Lebanon,"3,577,000",
130,Uruguay,"3,463,000",
131,Lithuania,"3,431,000",
132,Liberia,"3,283,000",
133,Panama,"3,232,000",
134,Albania,"3,130,000",
135,Mauritania,"3,069,000",
136,Armenia,"3,016,000",
137,Kuwait,"2,687,000",
138,Jamaica,"2,651,000",
139,Mongolia,"2,646,000",
140,Oman,"2,567,000",
141,Latvia,"2,307,000",
142,Bhutan[9],"2,163,000",
143,Republic of Macedonia,"2,034,000",
144,Namibia,"2,031,000",
145,Slovenia,"1,967,000",
146,Lesotho,"1,795,000",
147,Botswana,"1,765,000",
148,Guinea-Bissau,"1,586,000",
149,The Gambia,"1,517,000",
150,Gabon,"1,384,000",
151,Estonia,"1,330,000",
152,Trinidad and Tobago,"1,305,000",
153,Mauritius[10],"1,245,000",
154,Swaziland,"1,032,000",
155,East Timor,"947,000",
156,Fiji,"848,000",
157,Cyprus[11],"835,000",
158,Qatar,"813,000",
159,Comoros[12],"798,000",
160,Djibouti,"793,000",
161,Réunion(France),"785,000",
162,Guyana,"751,000",
163,Bahrain,"727,000",
164,Montenegro[13],"620,145",
165,Cape Verde,"507,000",
166,Equatorial Guinea,"504,000",
167,Solomon Islands,"478,000",
168,Luxembourg,"465,000",
169,Macau(PR China),"460,000",
170,Suriname,"449,000",
171,Guadeloupe(France),"448,000",
172,Malta,"402,000",
173,Martinique(France),"396,000",
174,Brunei,"374,000",
175,Western Sahara,"341,000",
176,Maldives,"329,000",
177,The Bahamas,"323,000",
178,Iceland,"295,000",
179,Belize,"270,000",
180,Barbados,"270,000",
181,French Polynesia(France),"257,000",
182,New Caledonia(France),"237,000",
183,Vanuatu,"211,000",
184,French Guiana(France),"187,000",
185,Samoa,"185,000",
186,Netherlands Antilles(Netherlands),"183,000",
187,Guam(US),"170,000",
188,Saint Lucia,"161,000",
189,São Tomé and Príncipe,"157,000",
190,Channel Islands(UK)[14],"149,000",
191,Saint Vincent and the Grenadines,"119,000",
192,U.S. Virgin Islands(US),"112,000",
193,Federated States of Micronesia,"110,000",
194,Grenada,"103,000",
195,Tonga,"102,000",
196,Aruba(Netherlands),"99,000",
197,Kiribati,"99,000",
198,Antigua and Barbuda,"81,000",
199,Northern Mariana Islands(US),"81,000",
200,Seychelles,"81,000",
201,Dominica,"79,000",
202,Isle of Man,"77,000",
203,Andorra,"67,000",
204,American Samoa(US),"65,000",
205,Bermuda(UK),"64,000",
206,Marshall Islands,"62,000",
207,Greenland(Denmark),"57,000",
208,Faroe Islands(Denmark),"47,000",
209,Cayman Islands(UK),"45,000",
210,Saint Kitts and Nevis,"43,000",
211,Monaco,"35,000",
212,Liechtenstein,"35,000",
213,San Marino,"28,000",
214,Gibraltar(UK),"28,000",
215,Turks and Caicos Islands(UK),"26,000",
216,British Virgin Islands(UK),"22,000",
217,Palau,"20,000",
218,Cook Islands(NZ),"18,000",
219,Wallis and Futuna(France),"15,000",
220,Nauru,"14,000",
221,Anguilla(UK),"12,000",
222,Tuvalu,"10,000",
223,Saint-Pierre and Miquelon(France),"6,000",
224,Saint Helena(UK)[15],"5,000",
225,Montserrat(UK),"4,000",
226,Falkland Islands(UK),"3,000",
227,Niue(NZ),"1,000",
228,Tokelau(NZ),"1,000",
229,Vatican City,783,
230,Pitcairn Islands(UK),67,
